ID_estudiante;género;edad;horas_estudio_día;horas_sueño;horas_uso_smartphone;horas_redes_sociales;horas_youtube;horas_videojuego;horas_descanso_día;g_ingesta_café;horas_ejercicio;tareas_completadas;porcentaje_asistencia;nivel_stress;puntuación_enfoque;calificación_final;puntuación_productividad
44;masculino;23;3,30;9,19;5,51;5,07;4,10;0,95;2;0,08;1,97;2;73,23;9;39;61,97;38,65
45;masculino;20;9,10;6,96;5,34;0,10;0,84;1,04;8;0,41;0,33;7;52,20;4;84;92,62;74,50
46;femenino;25;2,16;3,56;1,85;7,60;5,77;3,93;5;0,43;1,13;2;67,99;2;78;64,92;43,79
47;femenino;19;7,76;5,95;6,10;5,13;3,63;4,43;11;0,50;0,43;5;98,35;10;50;63,07;54,75
48;masculino;21;7,36;7,58;9,26;4,86;0,01;2,90;14;0,03;1,73;12;48,01;8;87;55,63;58,29
49;femenino;19;1,51;5,30;4,21;5,18;2,62;3,27;1;0,46;1,18;9;60,08;3;96;46,26;45,33
50;masculino;23;3,63;8,91;9,91;2,53;4,64;0,37;11;0,27;1,32;8;86,49;1;79;61,17;55,92
51;otro;21;2,30;4,57;7,23;1,87;1,86;4,19;11;0,12;1,30;8;63,72;9;51;91,56;21,43
52;masculino;25;0,72;5,55;8,83;4,29;4,03;3,82;11;0,07;0,15;17;73,90;2;32;55,21;17,71
53;femenino;23;2,14;9,42;10,82;7,55;4,31;0,92;6;0,44;1,00;4;42,01;1;60;43,31;36,04
54;femenino;18;2,41;7,01;6,05;2,25;4,97;0,48;13;0,13;0,05;0;46,14;9;62;66,19;31,11
55;femenino;20;2,08;3,04;10,22;5,73;3,48;1,56;4;0,12;1,82;5;72,68;5;57;70,64;19,22
56;masculino;25;1,37;4,71;2,11;7,79;1,15;0,36;5;0,22;1,83;3;43,86;3;51;40,48;29,34
57;femenino;28;5,50;8,27;9,45;4,40;5,05;1,72;6;0,37;0,28;7;92,00;5;93;51,04;64,12
58;masculino;18;3,57;3,36;10,09;3,67;1,10;3,15;14;0,01;0,22;10;90,69;10;87;93,85;33,96
59;masculino;26;9,13;9,95;10,89;5,98;2,75;3,45;9;0,36;0,80;18;40,12;5;38;59,09;55,79
60;masculino;25;2,28;9,29;1,43;1,13;0,54;5,64;13;0,11;0,65;17;43,88;3;59;53,82;49,32
61;femenino;26;6,23;4,57;1,85;0,26;0,96;2,19;4;0,28;1,00;9;87,03;2;90;59,62;71,05
62;femenino;21;9,06;9,27;0,76;2,81;1,15;0,05;5;0,08;1,17;3;81,91;1;96;55,64;99,90
63;masculino;18;0,95;7,90;6,32;6,70;4,32;0,12;1;0,20;0,07;0;45,17;7;91;58,43;38,16
64;femenino;20;5,40;5,98;2,72;0,62;1,32;2,89;14;0,20;1,13;18;52,43;3;64;73,41;54,77
65;femenino;28;4,78;4,37;7,03;4,73;3,07;1,69;6;0,08;1,17;13;56,21;4;83;68,27;46,46
66;femenino;28;9,32;4,40;10,76;0,41;4,06;1,02;8;0,22;1,20;13;74,06;5;75;67,53;59,32
67;masculino;23;6,81;7,16;4,26;4,01;3,30;3,45;1;0,10;1,38;7;58,80;4;32;41,54;51,14
68;femenino;28;3,82;5,91;0,56;1,04;3,96;0,62;6;0,05;0,35;4;53,12;8;42;72,73;38,85
69;femenino;29;7,26;7,17;10,73;4,86;5,40;3,65;14;0,00;1,50;4;58,03;7;70;68,99;51,57
70;masculino;24;6,04;5,31;7,65;2,48;5,80;5,41;6;0,22;1,80;6;98,34;3;79;83,71;60,03
71;femenino;19;3,80;4,61;2,82;2,97;4,10;0,54;11;0,49;1,10;7;62,86;6;35;83,66;33,07
72;masculino;17;7,96;8,86;8,46;0,50;1,12;5,85;2;0,41;1,87;13;83,09;7;47;93,49;59,44
73;masculino;20;6,85;9,44;7,78;6,21;5,88;3,42;10;0,41;0,67;16;65,56;10;51;54,73;52,53
74;masculino;18;0,55;7,94;4,87;4,82;0,42;1,34;12;0,28;1,97;17;45,37;4;66;58,32;34,07
75;masculino;24;8,72;4,13;2,94;4,65;5,57;2,38;6;0,37;0,45;12;47,19;4;92;54,60;70,89
76;femenino;20;4,27;3,65;11,91;5,26;2,71;2,82;9;0,36;1,58;10;66,84;5;72;72,49;31,49
77;masculino;18;6,63;6,77;7,89;5,31;5,05;0,50;13;0,27;1,65;0;89,31;2;41;84,70;53,44
78;femenino;22;4,27;6,85;0,52;2,82;2,04;4,15;13;0,48;0,07;11;55,97;5;98;66,77;65,22
79;masculino;22;8,87;7,47;1,94;2,20;3,37;5,42;13;0,45;0,95;8;72,38;6;50;94,99;70,49
80;femenino;26;6,68;9,34;3,35;2,38;0,85;5,21;13;0,18;1,25;16;78,98;7;88;52,82;76,09
81;femenino;20;6,00;7,53;9,85;6,49;5,43;2,60;10;0,37;1,88;7;96,03;4;54;54,87;52,74
82;femenino;22;9,81;9,41;5,96;1,36;1,80;0,10;1;0,49;0,48;19;67,86;1;87;55,21;89,91
83;femenino;29;3,17;3,82;1,19;3,89;1,57;5,88;14;0,46;0,02;18;60,05;8;53;65,29;34,07
84;femenino;18;1,12;7,96;3,55;5,01;2,67;0,51;1;0,37;1,17;16;76,14;6;33;65,49;30,86
85;masculino;26;5,40;9,49;11,78;4,13;2,19;4,58;12;0,17;1,57;18;57,81;10;38;95,75;34,47
86;femenino;28;4,53;6,24;9,33;4,43;0,83;1,85;13;0,14;1,13;1;62,71;10;31;41,67;24,44
87;femenino;18;4,82;9,77;0,55;6,71;0,15;5,33;11;0,40;0,40;1;64,13;2;63;53,58;68,65
88;femenino;26;6,39;6,87;10,15;2,64;1,93;5,43;1;0,15;0,87;14;65,34;3;47;60,35;46,00
89;femenino;20;6,34;9,60;2,71;2,77;4,32;2,26;4;0,21;1,83;12;48,14;7;36;56,99;54,53
90;femenino;24;4,23;8,24;4,30;1,33;1,13;2,06;14;0,46;1,82;14;46,38;3;88;78,60;60,05
91;masculino;23;8,70;6,20;1,86;6,00;1,03;5,42;10;0,19;1,33;9;64,74;5;96;61,54;81,19
92;femenino;28;6,69;3,24;0,62;1,66;3,19;4,00;14;0,10;0,93;14;44,73;5;35;84,11;43,55
93;masculino;25;8,95;7,60;6,30;4,16;4,03;0,12;3;0,37;0,48;6;67,26;3;33;82,85;61,03
94;masculino;24;9,17;4,78;3,79;6,83;5,92;0,63;4;0,02;1,55;6;96,71;3;62;78,47;72,59
95;femenino;21;2,09;5,02;4,64;0,79;0,50;0,73;6;0,33;0,43;10;74,98;1;53;91,54;37,03
96;masculino;29;6,97;3,14;2,44;1,35;2,78;5,99;10;0,06;0,90;8;40,64;8;37;76,24;38,29
97;masculino;18;3,52;6,90;9,77;1,47;5,81;1,86;14;0,27;0,70;10;69,40;6;71;99,38;39,50
98;femenino;21;8,45;5,03;2,50;1,08;3,86;1,07;10;0,17;1,50;18;46,60;1;92;45,73;76,00
99;femenino;24;7,46;9,88;6,45;7,56;3,90;5,83;11;0,50;0,47;2;68,01;9;70;88,65;66,13
100;femenino;26;2,39;8,24;5,90;5,92;5,39;2,13;1;0,16;0,35;2;98,46;6;74;56,78;50,18
101;femenino;25;9,42;5,50;11,08;3,64;2,04;1,27;5;0,08;0,77;11;96,86;3;40;78,46;56,71
102;otro;28;6,99;5,06;11,86;2,38;3,29;4,40;10;0,31;1,58;8;65,43;2;99;95,92;58,87
103;masculino;28;9,51;8,00;10,92;0,92;2,81;4,64;1;0,25;1,97;11;95,38;4;71;69,63;72,82
104;femenino;28;2,42;4,78;8,94;0,19;2,05;5,21;8;0,38;1,75;1;43,82;6;45;63,30;17,82
105;masculino;29;8,76;6,14;5,45;5,20;5,30;0,70;14;0,17;1,25;13;49,25;7;48;94,63;55,27
106;masculino;25;6,85;4,12;2,00;4,04;2,51;1,40;5;0,11;0,53;0;51,51;3;57;83,20;54,76
107;femenino;29;5,75;4,78;10,50;4,74;0,85;5,11;10;0,31;1,13;11;43,21;1;59;50,42;39,49
108;femenino;29;8,29;3,69;8,74;1,34;0,93;4,40;8;0,17;1,37;7;76,88;9;56;95,70;46,21
109;masculino;17;6,51;5,99;2,02;4,71;0,69;4,17;6;0,27;0,55;13;74,84;4;87;83,65;70,71
110;masculino;25;6,86;9,49;1,51;1,64;4,47;3,74;14;0,38;0,80;18;74,92;7;66;75,40;72,47
111;femenino;23;2,91;3,71;8,25;0,33;5,77;5,31;8;0,19;0,45;10;55,74;4;95;44,34;38,44
112;femenino;25;8,26;6,06;10,92;6,98;1,45;2,12;13;0,06;1,63;19;79,28;5;33;78,69;46,21
113;femenino;24;6,68;5,09;2,96;6,62;0,30;4,74;6;0,22;0,22;19;42,89;8;81;86,45;56,07
114;masculino;17;8,52;5,54;5,24;4,71;0,76;2,09;8;0,49;1,15;1;53,73;8;38;71,98;49,37
115;femenino;28;3,84;8,40;11,59;7,32;4,43;4,76;10;0,47;1,83;19;96,94;3;93;88,38;56,80
116;masculino;24;3,65;6,05;11,38;6,18;4,78;0,85;1;0,06;1,35;0;40,88;5;41;45,07;21,91
117;masculino;24;0,73;7,55;8,54;2,20;2,09;3,79;14;0,02;0,33;7;47,51;1;58;49,87;28,84
118;femenino;27;7,80;9,81;5,95;7,32;0,05;1,54;13;0,10;1,73;14;98,22;7;59;46,49;71,71
119;femenino;19;3,64;7,32;4,79;3,11;5,20;1,44;6;0,32;0,78;1;88,44;7;70;72,17;50,89
120;masculino;17;3,61;5,36;5,00;7,87;0,55;0,16;11;0,27;1,13;8;82,87;8;72;92,84;43,80
121;masculino;24;7,04;5,78;6,31;5,58;0,92;5,38;1;0,18;0,53;9;97,36;3;77;52,94;66,98
122;femenino;19;2,90;7,87;8,41;1,67;1,48;4,24;11;0,35;1,15;15;50,63;1;96;96,43;52,09
123;masculino;19;9,14;7,86;6,38;3,16;3,81;5,20;8;0,09;0,37;14;67,77;8;50;46,95;62,61
124;masculino;17;5,61;5,58;3,14;5,32;2,10;4,75;5;0,37;1,07;11;50,49;5;47;75,14;45,94
125;masculino;27;9,71;8,07;9,16;6,31;0,27;2,37;13;0,36;0,48;19;84,48;10;77;52,15;70,43
126;masculino;21;1,23;6,85;5,71;4,61;4,56;4,33;4;0,11;0,32;14;91,00;7;40;85,52;28,43
127;masculino;26;3,70;9,86;7,09;5,92;3,32;0,56;3;0,37;1,00;7;91,72;1;88;55,63;67,11
128;femenino;23;4,12;9,36;9,42;3,85;4,98;4,25;6;0,07;1,17;17;65,74;4;57;99,14;46,33
129;femenino;26;7,44;8,77;4,92;2,28;0,39;5,56;14;0,41;1,27;17;87,44;6;67;94,19;70,94
130;femenino;25;2,52;3,24;11,19;5,64;5,71;5,63;8;0,38;1,07;16;97,39;7;50;51,89;19,66
131;femenino;28;4,07;5,66;6,37;6,60;0,62;1,51;11;0,50;1,02;18;77,13;2;95;98,67;57,37
132;femenino;23;9,15;7,01;8,59;2,54;3,35;3,22;3;0,36;1,92;0;91,17;5;70;44,74;70,29
133;femenino;25;1,59;6,65;9,18;3,42;3,12;0,90;1;0,49;1,28;8;86,55;8;43;90,46;23,00
134;femenino;24;7,58;8,34;4,69;2,70;5,35;3,87;14;0,41;0,73;5;59,12;3;44;53,30;61,96
135;masculino;28;7,17;9,36;3,47;1,16;3,37;1,77;7;0,12;1,97;1;94,79;1;38;62,20;70,91
136;femenino;18;1,74;8,51;11,12;6,13;1,67;2,91;9;0,04;0,02;5;90,64;2;66;77,49;40,11
137;masculino;17;7,04;4,54;4,11;4,08;1,03;0,32;10;0,10;1,35;13;54,44;3;43;96,48;49,24
138;femenino;23;5,91;6,40;1,76;1,30;1,56;1,97;12;0,12;1,57;2;44,49;2;33;55,33;49,41
139;femenino;23;3,23;5,76;6,20;2,77;1,62;5,80;12;0,13;0,98;16;70,56;5;45;81,78;33,80
140;femenino;24;3,46;8,36;9,98;5,93;1,27;4,24;14;0,09;1,98;17;52,10;10;69;69,02;35,07
141;femenino;21;8,41;9,27;3,74;3,03;1,40;1,39;3;0,42;1,98;12;69,54;3;65;86,24;78,08
142;masculino;19;2,69;5,01;6,18;0,57;5,14;0,21;7;0,02;1,35;11;92,56;8;75;99,32;39,51
143;masculino;28;5,37;6,42;4,66;0,84;5,22;4,00;9;0,40;1,98;16;44,28;1;39;96,81;45,43
144;masculino;24;6,97;8,12;0,78;7,98;3,19;5,53;12;0,34;1,87;2;48,63;3;31;61,40;59,16
145;masculino;22;1,73;3,35;2,08;3,42;5,49;3,51;5;0,13;1,93;6;50,30;4;38;61,76;23,03
146;masculino;27;9,36;9,74;9,67;5,09;3,03;2,59;4;0,27;0,75;8;90,29;9;62;46,08;69,76
147;masculino;19;2,98;8,60;11,25;4,95;3,60;4,96;11;0,36;1,43;4;45,22;5;79;91,24;39,11
148;masculino;17;3,53;6,80;0,55;1,33;5,96;3,06;1;0,44;1,22;16;58,65;10;94;54,75;55,59
149;otro;19;6,83;8,45;10,40;3,19;2,24;5,33;8;0,38;0,25;6;42,32;6;62;66,69;49,65
150;masculino;21;1,24;8,85;8,82;5,72;3,77;3,99;1;0,40;0,12;0;86,34;4;44;78,72;32,62
151;masculino;19;6,46;6,46;8,38;3,40;4,10;0,29;12;0,31;1,43;6;78,45;9;58;95,82;47,27
152;masculino;17;9,20;6,08;5,45;4,71;3,57;3,72;8;0,29;0,00;18;51,05;8;64;42,85;61,40
153;femenino;21;2,87;8,86;4,31;2,97;1,89;2,44;5;0,19;1,48;4;53,83;8;90;72,17;52,29
154;masculino;26;3,94;9,02;5,22;2,12;5,53;3,05;6;0,25;0,03;18;47,10;1;66;86,27;54,56
155;femenino;23;2,71;3,87;7,42;0,15;5,38;3,76;14;0,33;0,82;8;70,78;9;76;97,52;30,24
156;masculino;23;8,28;9,35;11,39;3,39;5,71;4,87;3;0,07;1,37;16;45,91;10;88;56,44;61,42
157;femenino;27;2,09;4,94;2,88;3,17;2,28;1,27;9;0,28;1,87;6;50,05;6;91;56,26;42,53
158;femenino;25;3,79;7,67;11,70;3,68;5,33;2,27;8;0,36;0,93;5;69,82;7;39;92,25;28,25
159;masculino;26;6,21;7,97;3,18;0,05;3,79;0,78;5;0,10;1,85;19;84,07;10;67;89,31;61,43
160;masculino;26;4,34;4,96;10,23;4,14;5,98;3,04;10;0,28;1,38;1;56,89;9;74;41,77;32,77
161;masculino;28;1,12;5,13;8,09;0,94;2,45;3,61;3;0,10;1,02;3;53,41;6;40;93,40;14,46
162;femenino;29;9,50;7,94;9,07;3,97;0,03;0,34;10;0,03;0,58;6;85,28;5;51;52,28;66,42
163;masculino;19;3,71;4,23;10,06;2,74;3,03;2,66;13;0,02;1,87;3;55,17;8;35;65,44;16,53
164;femenino;23;4,73;9,01;0,64;0,35;3,23;1,40;7;0,28;1,32;1;81,48;4;44;56,40;60,56
165;femenino;17;2,09;4,56;8,83;1,32;2,78;3,26;10;0,16;0,10;8;70,95;8;67;90,41;25,33
166;femenino;20;8,72;5,46;11,95;2,06;2,44;3,73;1;0,21;0,20;1;70,36;4;59;97,38;52,96
167;masculino;29;3,27;4,87;6,19;1,87;1,32;3,82;8;0,26;0,33;16;68,94;1;66;78,97;42,44
168;masculino;20;0,69;4,72;6,73;4,83;4,38;0,10;12;0,15;0,18;10;44,76;7;65;42,59;19,31
169;femenino;21;3,51;9,85;1,72;0,35;3,19;2,20;1;0,43;1,50;8;97,96;1;43;78,57;61,40
170;femenino;23;9,85;4,77;4,42;3,55;0,63;2,93;7;0,27;0,82;2;68,01;2;35;85,77;62,17
171;otro;23;1,90;7,05;7,54;6,53;0,60;4,31;4;0,31;0,72;1;65,17;3;88;87,85;44,58
172;femenino;29;0,80;8,22;1,88;2,28;4,66;0,45;6;0,28;0,25;19;45,66;1;46;52,85;37,55
173;femenino;27;5,99;3,29;4,33;4,84;3,51;5,55;14;0,47;0,10;4;64,80;6;39;93,80;38,12
174;femenino;29;4,03;9,17;4,50;7,38;3,03;0,38;4;0,08;0,30;14;84,73;3;40;54,18;52,04
175;femenino;20;8,05;4,07;9,85;6,31;1,33;0,51;13;0,44;0,93;2;52,46;3;80;86,84;54,70
176;masculino;29;7,45;7,12;6,68;6,65;1,88;1,64;12;0,03;1,57;12;80,27;9;42;91,39;51,19
177;femenino;23;2,26;7,49;6,88;3,50;4,89;2,46;7;0,41;0,73;14;84,89;8;54;87,85;35,18
178;masculino;27;5,86;7,41;3,75;0,67;1,67;0,33;10;0,40;0,60;6;77,38;2;63;81,10;63,74
179;masculino;19;0,81;8,13;4,10;3,89;1,06;0,55;4;0,04;1,30;19;98,56;9;37;89,88;30,77
180;femenino;22;4,68;9,52;5,69;0,58;3,95;4,90;5;0,21;0,33;13;66,29;10;34;90,02;41,38
181;masculino;28;7,28;9,49;9,89;3,98;4,62;1,61;11;0,28;1,62;5;58,43;2;58;64,58;60,85
182;masculino;18;4,44;7,05;4,14;3,98;1,05;5,61;1;0,11;1,73;3;42,08;2;81;55,81;56,12
183;masculino;26;1,62;5,59;4,20;6,54;1,51;3,10;11;0,31;0,30;17;54,80;3;83;79,81;41,54
184;femenino;29;1,08;5,25;7,04;4,37;0,19;5,43;4;0,18;0,52;5;82,30;3;43;84,37;25,20
185;femenino;25;8,61;9,21;10,16;0,81;0,18;4,64;13;0,00;0,17;19;58,35;8;89;93,19;68,95
186;femenino;21;8,97;8,97;6,29;3,66;0,33;1,08;1;0,19;1,90;4;58,51;2;32;81,49;64,17
187;masculino;22;3,76;5,07;1,98;5,86;0,34;4,72;3;0,44;1,08;15;82,53;1;83;81,94;59,61
188;masculino;28;2,06;4,07;11,03;0,83;4,67;2,70;4;0,02;1,05;5;74,69;5;81;44,00;28,70
189;masculino;28;9,80;9,03;5,92;3,92;3,53;2,14;11;0,36;0,82;12;65,86;1;63;73,71;80,82
190;masculino;28;5,69;7,26;9,40;4,04;1,62;2,42;12;0,18;1,60;18;43,60;3;84;42,87;53,71
191;femenino;28;5,03;5,19;1,00;7,45;0,68;0,39;5;0,07;1,38;9;48,08;6;42;47,75;42,76
192;masculino;20;7,55;7,27;10,12;6,22;5,71;5,90;1;0,25;1,00;0;67,25;6;82;92,77;60,54
193;masculino;27;2,10;3,46;1,17;1,96;2,24;2,13;12;0,08;1,02;11;75,35;5;68;53,89;39,08
194;masculino;26;6,01;4,33;11,63;6,46;0,08;4,11;6;0,40;0,68;9;63,81;1;36;96,46;33,46
195;masculino;23;8,96;6,82;10,74;3,43;0,10;5,73;14;0,38;0,65;1;54,20;1;72;78,13;64,45
196;masculino;28;0,72;6,77;3,57;3,99;1,28;2,60;10;0,16;0,92;1;90,55;3;61;86,30;40,52
197;femenino;25;6,89;4,73;3,07;2,96;4,83;3,61;6;0,13;0,47;15;83,12;10;78;99,83;59,21
198;femenino;23;5,74;9,87;9,51;0,73;4,75;5,17;3;0,38;1,88;3;94,18;8;77;75,49;61,31
199;femenino;17;9,53;5,89;2,24;7,92;0,14;1,74;13;0,49;1,48;18;95,05;9;81;92,31;79,06
200;femenino;17;2,96;7,96;10,49;0,69;1,21;1,00;10;0,39;1,22;12;79,32;7;48;43,18;31,86
201;masculino;25;8,66;4,81;0,87;0,67;4,43;0,30;4;0,23;0,02;3;63,66;3;53;67,32;66,93
202;femenino;27;3,44;5,97;7,99;0,96;0,44;1,57;12;0,36;0,42;17;68,56;3;63;69,43;40,04
203;femenino;25;4,58;8,82;3,49;2,21;2,49;1,79;7;0,13;1,05;16;43,89;5;31;65,02;43,42
204;masculino;20;2,53;8,94;10,19;4,36;5,76;4,01;12;0,25;1,40;18;46,98;4;73;45,65;39,23
205;femenino;29;8,70;3,95;4,84;6,20;3,47;3,24;8;0,39;1,87;19;55,66;4;53;70,21;55,99
206;femenino;25;2,36;5,48;5,48;6,11;2,59;1,58;9;0,06;1,68;8;50,00;5;97;52,77;43,96
207;masculino;19;8,66;4,42;2,17;4,02;5,76;5,10;3;0,49;0,07;4;46,99;6;31;86,00;50,72
208;femenino;23;4,83;9,23;7,70;6,77;3,04;3,35;4;0,47;0,28;14;67,07;2;62;41,08;55,82
209;femenino;22;8,43;8,28;5,91;0,17;3,61;0,06;11;0,45;0,50;15;72,39;7;81;67,28;73,31
210;femenino;24;3,01;6,94;0,60;0,32;3,07;0,03;3;0,29;1,48;15;89,17;1;57;75,70;56,31
211;femenino;27;1,76;7,55;8,90;5,17;4,50;3,10;5;0,09;1,57;18;70,74;4;67;76,16;36,14
212;masculino;25;5,77;9,40;1,97;3,72;1,99;4,40;10;0,09;0,18;9;68,43;1;31;69,62;60,87
213;masculino;21;5,34;5,12;6,55;4,04;0,91;0,27;9;0,34;1,50;15;59,29;5;80;97,00;50,12
214;femenino;17;3,89;3,10;6,70;1,74;2,83;4,86;5;0,14;0,00;4;88,22;9;87;67,27;40,80
215;femenino;19;6,80;3,18;3,94;6,70;4,40;0,51;13;0,30;1,10;2;80,22;1;45;98,32;51,79
216;femenino;26;1,40;3,33;3,13;4,03;2,80;4,70;2;0,35;0,17;18;50,76;5;53;83,30;23,70
217;masculino;28;6,41;3,90;4,08;1,69;1,21;0,03;2;0,44;1,53;15;71,85;9;59;86,63;46,36
218;masculino;24;2,51;7,00;5,08;1,11;0,90;2,23;7;0,40;0,05;4;49,54;1;64;80,79;42,92
219;masculino;27;1,73;9,87;11,24;7,96;5,83;2,45;6;0,45;1,72;19;82,40;10;40;93,77;25,16
220;masculino;22;9,14;5,94;8,20;5,82;5,53;4,95;1;0,09;1,12;12;58,59;9;42;95,88;49,33
221;masculino;24;4,87;7,99;11,60;4,26;1,87;0,91;11;0,10;0,38;4;71,51;10;34;45,71;29,35
222;masculino;25;7,75;8,55;1,48;4,53;5,78;0,86;4;0,33;1,83;1;40,99;8;88;90,32;74,37
223;masculino;20;1,35;8,61;1,02;0,88;3,72;5,99;11;0,38;0,83;2;91,54;4;95;81,01;62,42
224;masculino;17;1,05;6,10;1,17;5,77;1,85;1,75;11;0,39;0,68;10;63,74;7;36;72,32;27,27
225;masculino;17;5,20;6,85;10,38;7,35;1,83;3,93;7;0,19;1,43;3;41,07;1;60;75,33;42,88
226;otro;26;3,50;5,30;10,09;7,18;5,40;2,19;5;0,32;0,13;12;44,34;3;94;68,69;41,20
227;femenino;20;0,55;7,82;5,54;6,30;2,22;0,79;8;0,13;1,18;3;88,38;10;59;50,45;30,88
228;masculino;28;2,24;5,68;5,51;5,22;0,47;0,47;14;0,34;1,50;7;87,12;4;36;69,42;31,27
